Marca temporal,Disciplina,Edad,Masa,Pais  
10/05/2026 14:44:22,Atletismo,20 – 25,"Deportes de fuerza (ej: remo, levantamiento)",China
10/05/2026 15:06:20,Deportes de equipo,20 – 25,"Deportes de fuerza (ej: remo, levantamiento)",Rusia
10/05/2026 15:13:14,Deportes de equipo,20 – 25,"Deportes de fuerza (ej: remo, levantamiento)",China
10/05/2026 15:26:51,Atletismo,26 – 30,"Deportes de fuerza (ej: remo, levantamiento)",China
10/05/2026 15:32:48,Deportes de equipo,20 – 25,"Deportes de fuerza (ej: remo, levantamiento)",Estados Unidos
11/05/2026 8:08:11,Atletismo,Menos de 20,"Deportes de fuerza (ej: remo, levantamiento)",Estados Unidos
11/05/2026 10:52:28,Deportes de equipo,20 – 25,Deportes técnicos (ej: gimnasia),Reino Unido
11/05/2026 10:53:34,Natación,20 – 25,"Deportes de fuerza (ej: remo, levantamiento)",China
11/05/2026 10:53:34,Deportes de equipo,26 – 30,No estoy seguro,Alemania
11/05/2026 11:06:40,Atletismo,26 – 30,No estoy seguro,Rusia
11/05/2026 11:12:28,Gimnasia,20 – 25,"Deportes de fuerza (ej: remo, levantamiento)",Estados Unidos
11/05/2026 11:33:58,Atletismo,26 – 30,"Deportes de fuerza (ej: remo, levantamiento)",Estados Unidos
11/05/2026 11:39:51,Deportes de equipo,20 – 25,"Deportes de fuerza (ej: remo, levantamiento)",China
11/05/2026 11:43:02,Deportes de equipo,26 – 30,"Deportes de fuerza (ej: remo, levantamiento)",Estados Unidos
11/05/2026 12:20:51,Atletismo,20 – 25,Deportes de resistencia (ej: atletismo),China
11/05/2026 12:42:22,Atletismo,20 – 25,"Deportes de fuerza (ej: remo, levantamiento)",Rusia
11/05/2026 13:19:07,Deportes de equipo,20 – 25,"Deportes de fuerza (ej: remo, levantamiento)",Estados Unidos
11/05/2026 13:20:03,Deportes de equipo,20 – 25,"Deportes de fuerza (ej: remo, levantamiento)",Estados Unidos
11/05/2026 18:15:10,Deportes de equipo,26 – 30,"Deportes de fuerza (ej: remo, levantamiento)",Estados Unidos
11/05/2026 18:16:01,Atletismo,20 – 25,"Deportes de fuerza (ej: remo, levantamiento)",Estados Unidos
12/05/2026 12:05:58,Atletismo,20 – 25,Deportes técnicos (ej: gimnasia),Canadá
12/05/2026 12:06:37,Atletismo,26 – 30,"Deportes de fuerza (ej: remo, levantamiento)",China
12/05/2026 12:16:36,Atletismo,26 – 30,"Deportes de fuerza (ej: remo, levantamiento)",Estados Unidos
12/05/2026 12:28:14,Deportes de equipo,20 – 25,Deportes de resistencia (ej: atletismo),Rusia
12/05/2026 13:47:26,Deportes de equipo,20 – 25,"Deportes de fuerza (ej: remo, levantamiento)",Estados Unidos
12/05/2026 13:51:53,Atletismo,20 – 25,Deportes de resistencia (ej: atletismo),Estados Unidos
12/05/2026 13:58:58,Deportes de equipo,Menos de 20,"Deportes de fuerza (ej: remo, levantamiento)",Estados Unidos
12/05/2026 15:34:35,Atletismo,26 – 30,"Deportes de fuerza (ej: remo, levantamiento)",Estados Unidos
12/05/2026 22:51:55,Deportes de equipo,20 – 25,"Deportes de fuerza (ej: remo, levantamiento)",Alemania
